data_as_on,state,city,company_name,legal_name,cin,company_website,company_status,focus_industry,focus_sector,services_provided
05-08-2026,Gujarat,Rajkot,BoltLabs Private Limited,BoltLabs Private Limited,L86185GJ2022OPC839397,www.boltlabs.org,Early Traction,Semiconductor & Electronics,Insurance Tech,"Mobile App, Freemium, Managed Services, D2C"
05-08-2026,Gujarat,Anand,NexGenCodex OPC Private Limited,NexGenCodex OPC Private Limited,U51035GJ2019OPC704586,www.nexgencodex.io,Active,Cement & Building Materials,DevOps,"API-First, Custom Development, Web Platform"
05-08-2026,Gujarat,Ahmedabad,NeoTech Pvt. Ltd.,NeoTech Pvt. Ltd.,U11938GJ2019LLP742176,www.neotech.io,Prototype,Gaming & Interactive Media,IT Infrastructure,"Consulting, Cloud Services"
05-08-2026,Gujarat,Anand,VelocityForce OPC Pvt. Ltd.,VelocityForce OPC Pvt. Ltd.,L84126GJ2019OPC239539,,Validation,Home Furnishing,Identity Management,"Subscription, B2B, B2C"
05-08-2026,Gujarat,Gandhinagar,VibeFlow Private Limited,VibeFlow Private Limited,U81529GJ2021LLP352232,www.vibeflow.in,Active,Home Furnishing,Skill Development,B2C
05-08-2026,Gujarat,Surat,GearCraft Pvt. Ltd.,GearCraft Pvt. Ltd.,L90376GJ2021OPC637566,www.gearcraft.io,Active,Textiles & Garments,Online Marketplace,"Blockchain-Based, AI-Powered, Marketplace, B2B"
05-08-2026,Gujarat,Ahmedabad,SummitPoint Pvt Ltd,SummitPoint Pvt Ltd,U40818GJ2022PTC607844,www.summitpoint.net,Prototype,Food Processing & Packaging,Insurance Tech,"AI-Powered, Mobile App"
05-08-2026,Gujarat,Palanpur,MaxBase Private Limited,MaxBase Private Limited,U70101GJ2024PTC910187,,Active,Life Sciences & Pharmaceuticals,Waste Management,"White-Label, Cloud Services"
05-08-2026,Gujarat,Surat,FluxBase Private Limited,FluxBase Private Limited,L37370GJ2022PTC422597,www.fluxbase.com,Early Traction,Home Furnishing,Cold Chain,"AI-Powered, Mobile App"
05-08-2026,Gujarat,Ahmedabad,TechWing OPC Private Limited,TechWing OPC Private Limited,U79015GJ2023OPC467977,www.techwing.com,Active,Water & Sanitation,Social Commerce,AI-Powered
05-08-2026,Gujarat,Ahmedabad,SynthVerse OPC Pvt. Ltd.,SynthVerse OPC Pvt. Ltd.,U89984GJ2017LLP514000,www.synthverse.org,Early Traction,Paper & Publishing,Wealth Management,"White-Label, Platform"
05-08-2026,Gujarat,Nadiad,AeroSolutions Pvt Ltd,AeroSolutions Pvt Ltd,L33707GJ2018PTC635703,www.aerosolutions.co,Validation,Chemicals & Dyes,Food Delivery,B2C
05-08-2026,Gujarat,Rajkot,VibeDynamics LLP,VibeDynamics LLP,L54497GJ2025OPC719813,www.vibedynamics.tech,Active,Industrial Manufacturing,5G Solutions,"On-Demand, SaaS"
05-08-2026,Gujarat,Anand,EcoDigital Private Ltd.,EcoDigital Private Ltd.,U22984GJ2017OPC333156,,Active,Metals & Mining,Smart Manufacturing,"AI-Powered, Blockchain-Based, White-Label"
05-08-2026,Gujarat,Bhavnagar,XenoLogic Pvt. Ltd.,XenoLogic Pvt. Ltd.,U28698GJ2018OPC765054,www.xenologic.io,Active,IT Software & Services,CRM SaaS,"Platform, API-First, B2C"
05-08-2026,Gujarat,Vadodara,CruxDynamics Private Limited,CruxDynamics Private Limited,L19183GJ2024PTC712198,www.cruxdynamics.co,Active,Marketing & Advertising,EV Manufacturing,"SaaS, Custom Development, B2C, D2C"
05-08-2026,Gujarat,Himmatnagar,ApexForce LLP,ApexForce LLP,U36472GJ2021PTC148388,www.apexforce.in,Validation,Textiles & Garments,Air Quality,"On-Demand, Data Analytics"
05-08-2026,Gujarat,Surat,PulseSolutions OPC Private Limited,PulseSolutions OPC Private Limited,U39722GJ2025PTC958994,www.pulsesolutions.co,Scaling,Industrial Manufacturing,MedTech,"AI-Powered, IoT Solution"
05-08-2026,Gujarat,Vadodara,BoltByte OPC Pvt. Ltd.,BoltByte OPC Pvt. Ltd.,U96395GJ2019OPC912053,www.boltbyte.tech,Early Traction,Food Processing & Packaging,Exam Prep,"Subscription, Blockchain-Based, B2C"
05-08-2026,Gujarat,Nadiad,SparkForce LLP,SparkForce LLP,U97303GJ2024PTC430466,www.sparkforce.in,Active,Transport & Mobility,Health Records,"Cloud Services, API-First, Managed Services"
05-08-2026,Gujarat,Rajkot,LoopStack OPC Private Limited,LoopStack OPC Private Limited,U74724GJ2024PTC677611,www.loopstack.org,Active,Education & Skill Development,IT Consulting,"SaaS, B2B, Freemium, IoT Solution"
05-08-2026,Gujarat,Mehsana,CruxVerse Pvt Ltd,CruxVerse Pvt Ltd,U83246GJ2020OPC630806,,Active,Hospitality & Travel,Enterprise IT,"Mobile App, Custom Development, Cloud Services, AI-Powered"
05-08-2026,Gujarat,Rajkot,TruePixel Pvt. Ltd.,TruePixel Pvt. Ltd.,U67064GJ2022LLP330866,,Active,Photography & Videography,Industrial IoT,"On-Demand, Platform, Subscription, SaaS"
05-08-2026,Gujarat,Bharuch,AlphaCraft Pvt. Ltd.,AlphaCraft Pvt. Ltd.,U18100GJ2021OPC666621,,Active,Agriculture & Allied Services,Machine Learning,"Custom Development, Mobile App, Blockchain-Based"
05-08-2026,Gujarat,Ahmedabad,MediHub OPC Private Limited,MediHub OPC Private Limited,U41959GJ2020PTC321934,www.medihub.in,Scaling,Consulting & Advisory,Apparel D2C,"B2B, White-Label"
05-08-2026,Gujarat,Ahmedabad,WaveFlow OPC Pvt. Ltd.,WaveFlow OPC Pvt. Ltd.,U46540GJ2022LLP306396,www.waveflow.net,Active,Industrial Manufacturing,Machine Learning,"Marketplace, Data Analytics, Managed Services"
05-08-2026,Gujarat,Surat,VibrantPixel OPC Private Limited,VibrantPixel OPC Private Limited,L23788GJ2020PTC362127,,Active,Waste Management,Enterprise IT,"D2C, SaaS, Platform, B2C"
05-08-2026,Gujarat,Ahmedabad,SpectrumShift Pvt Ltd,SpectrumShift Pvt Ltd,L26960GJ2021PTC215923,www.spectrumshift.tech,Active,AI & Machine Learning,Insurance Tech,D2C
05-08-2026,Gujarat,Ahmedabad,UltraBase OPC Private Limited,UltraBase OPC Private Limited,U24130GJ2024OPC778163,www.ultrabase.com,Validation,Forestry & Timber,Last-Mile Delivery,"Platform, Managed Services"
05-08-2026,Gujarat,Ahmedabad,CloudPoint Private Ltd.,CloudPoint Private Ltd.,U79224GJ2021OPC887179,www.cloudpoint.org,Prototype,Legal & Regulatory Services,Insurance Tech,"AR/VR Experience, Consulting, White-Label"
05-08-2026,Gujarat,Surat,SwiftVerse OPC Private Limited,SwiftVerse OPC Private Limited,L74812GJ2023LLP956503,,Scaling,Gaming & Interactive Media,Last-Mile Delivery,Blockchain-Based
05-08-2026,Gujarat,Gandhinagar,LuminaPoint Pvt. Ltd.,LuminaPoint Pvt. Ltd.,U54330GJ2023PTC973837,www.luminapoint.in,Validation,Precision Engineering,OTT Platform,"IoT Solution, B2C, AI-Powered"
05-08-2026,Gujarat,Surat,EcoByte OPC Private Limited,EcoByte OPC Private Limited,U30484GJ2022PTC484859,,Active,Robotics & Automation,Social Commerce,"D2C, Cloud Services"
05-08-2026,Gujarat,Surat,PureCodex LLP,PureCodex LLP,L31800GJ2024LLP383242,,Active,Agriculture & Allied Services,Construction Tech,Custom Development
05-08-2026,Gujarat,Ahmedabad,AuraDigital Pvt Ltd,AuraDigital Pvt Ltd,L36109GJ2018PTC670600,www.auradigital.in,Active,Consulting & Advisory,Computer Vision,B2C
05-08-2026,Gujarat,Ahmedabad,SolarisLogic OPC Private Limited,SolarisLogic OPC Private Limited,U11625GJ2021LLP273168,,Active,Chemicals & Dyes,B2B Marketplace,Custom Development
05-08-2026,Gujarat,Navsari,ZealPoint LLP,ZealPoint LLP,L97723GJ2022OPC542996,www.zealpoint.com,Scaling,Paper & Publishing,Health Records,"Cloud Services, White-Label, B2C, On-Demand"
05-08-2026,Gujarat,Gandhinagar,QuestSolutions Pvt. Ltd.,QuestSolutions Pvt. Ltd.,U93381GJ2017OPC440246,,Active,Cybersecurity & Risk,Industrial IoT,"Marketplace, D2C, IoT Solution"
05-08-2026,Gujarat,Rajkot,PrimeTech Private Limited,PrimeTech Private Limited,U58247GJ2019LLP101212,www.primetech.tech,Active,Real Estate & Housing,Diagnostics,B2C
05-08-2026,Gujarat,Ahmedabad,ZenNexus Pvt. Ltd.,ZenNexus Pvt. Ltd.,U98247GJ2024LLP334783,,Scaling,Retail & Consumer Goods,Social Commerce,"API-First, Freemium, Managed Services"
05-08-2026,Gujarat,Bhavnagar,BridgeNetworks Private Limited,BridgeNetworks Private Limited,U59658GJ2017OPC698596,www.bridgenetworks.com,Scaling,Photography & Videography,Computer Vision,"Platform, Managed Services, Custom Development"
05-08-2026,Gujarat,Ahmedabad,VibeLogic Pvt Ltd,VibeLogic Pvt Ltd,L18730GJ2020OPC585571,www.vibelogic.org,Active,Fisheries & Aquaculture,Textile Manufacturing,"SaaS, Platform"
05-08-2026,Gujarat,Surat,EcoBase OPC Private Limited,EcoBase OPC Private Limited,U46412GJ2021LLP790073,www.ecobase.tech,Active,Digital Media & Content,Wealth Management,"White-Label, SaaS, Cloud Services"
05-08-2026,Gujarat,Dwarka,FluxWing LLP,FluxWing LLP,U90996GJ2023LLP640088,www.fluxwing.tech,Validation,AI & Machine Learning,IT Consulting,"IoT Solution, AR/VR Experience, D2C, Platform"
05-08-2026,Gujarat,Gandhinagar,ZenTech Private Limited,ZenTech Private Limited,U53119GJ2023OPC656219,,Active,Fisheries & Aquaculture,Agri-Marketplace,"AI-Powered, SaaS, B2C, Custom Development"
05-08-2026,Gujarat,Rajkot,CoreVerse Pvt Ltd,CoreVerse Pvt Ltd,L49514GJ2021PTC802028,www.coreverse.com,Early Traction,Furniture & Interiors,VR Gaming,"AR/VR Experience, Mobile App, AI-Powered, On-Demand"
05-08-2026,Gujarat,Gandhinagar,WaveBase Pvt Ltd,WaveBase Pvt Ltd,L86475GJ2025OPC952837,,Active,Precision Engineering,Vocational Training,"AI-Powered, Custom Development, B2B"
05-08-2026,Gujarat,Nadiad,RedStack Pvt. Ltd.,RedStack Pvt. Ltd.,U97284GJ2023PTC859966,www.redstack.in,Validation,Water & Sanitation,Project Management,Freemium
05-08-2026,Gujarat,Jamnagar,WaveSpace OPC Private Limited,WaveSpace OPC Private Limited,L81688GJ2021PTC428195,www.wavespace.tech,Prototype,Industrial Manufacturing,Online Marketplace,Consulting
05-08-2026,Gujarat,Ahmedabad,TerraLogic Private Ltd.,TerraLogic Private Ltd.,L57156GJ2024PTC288327,www.terralogic.io,Active,Paper & Publishing,IT Consulting,"AR/VR Experience, IoT Solution, Web Platform, D2C"
05-08-2026,Gujarat,Ahmedabad,KarmaLabs OPC Pvt. Ltd.,KarmaLabs OPC Pvt. Ltd.,U29225GJ2021PTC947461,,Active,Logistics & Warehousing,Generative AI,Data Analytics
05-08-2026,Gujarat,Surat,LaunchCodex OPC Private Limited,LaunchCodex OPC Private Limited,L18894GJ2025OPC652221,,Scaling,Security & Surveillance,Warehousing,"AR/VR Experience, Subscription"
05-08-2026,Gujarat,Ahmedabad,TerraFlow Private Limited,TerraFlow Private Limited,U58272GJ2021LLP962388,www.terraflow.in,Early Traction,Logistics & Warehousing,IT Consulting,"On-Demand, B2C"
05-08-2026,Gujarat,Ahmedabad,XenoSystems Pvt Ltd,XenoSystems Pvt Ltd,U21809GJ2021OPC476341,www.xenosystems.co,Early Traction,Handicrafts & Art,IT Consulting,"SaaS, AI-Powered"
05-08-2026,Gujarat,Valsad,QuestWing Private Limited,QuestWing Private Limited,U45725GJ2020PTC318392,www.questwing.in,Active,Sports & Fitness,Online Marketplace,"Consulting, Mobile App, D2C, White-Label"
05-08-2026,Gujarat,Patan,AeroShift OPC Pvt. Ltd.,AeroShift OPC Pvt. Ltd.,L28831GJ2022OPC635836,www.aeroshift.in,Scaling,AI & Machine Learning,IT Consulting,"AR/VR Experience, IoT Solution"
05-08-2026,Gujarat,Surat,ProDynamics Private Ltd.,ProDynamics Private Ltd.,L67920GJ2017PTC381710,www.prodynamics.in,Early Traction,Transport & Mobility,5G Solutions,"Marketplace, B2C"
05-08-2026,Gujarat,Gandhinagar,CompassLabs Private Limited,CompassLabs Private Limited,U30488GJ2020OPC374986,www.compasslabs.net,Active,Retail & Consumer Goods,Omnichannel Retail,"IoT Solution, API-First, Blockchain-Based, Cloud Services"
05-08-2026,Gujarat,Surat,GenHub Private Ltd.,GenHub Private Ltd.,U80540GJ2025LLP215710,,Scaling,Security & Surveillance,B2B Marketplace,"Blockchain-Based, Custom Development, AR/VR Experience, Freemium"
05-08-2026,Gujarat,Amreli,FinForce Private Limited,FinForce Private Limited,U22682GJ2018LLP520740,,Early Traction,Life Sciences & Pharmaceuticals,NLP,IoT Solution
05-08-2026,Gujarat,Surat,VibeSolutions Private Ltd.,VibeSolutions Private Ltd.,U72299GJ2021OPC896233,,Early Traction,Rubber & Plastics,Public Transit,Web Platform
05-08-2026,Gujarat,Ahmedabad,TrueVerse Private Limited,TrueVerse Private Limited,L49466GJ2024PTC761370,,Validation,Health & Wellness,3D Printing,"Freemium, B2C"
05-08-2026,Gujarat,Ahmedabad,TerraCraft Private Ltd.,TerraCraft Private Ltd.,L35679GJ2020LLP570908,www.terracraft.net,Prototype,Marketing & Advertising,Hospitality Tech,"Platform, Blockchain-Based, Custom Development, API-First"
05-08-2026,Gujarat,Rajkot,EcoTech OPC Private Limited,EcoTech OPC Private Limited,U28630GJ2021OPC695438,www.ecotech.in,Early Traction,Handicrafts & Art,Generative AI,"SaaS, Data Analytics, Consulting, Managed Services"
05-08-2026,Gujarat,Ahmedabad,ZealPixel Private Limited,ZealPixel Private Limited,U21195GJ2023LLP343903,,Early Traction,IT Software & Services,Lifestyle Brand,"On-Demand, B2B"
05-08-2026,Gujarat,Rajkot,VelocityDigital Pvt. Ltd.,VelocityDigital Pvt. Ltd.,L49949GJ2018PTC308475,,Active,Architecture & Interior Design,B2B Marketplace,"B2B, Custom Development, White-Label"
05-08-2026,Gujarat,Surendranagar,AeroLabs LLP,AeroLabs LLP,U61143GJ2024OPC839017,www.aerolabs.com,Active,Robotics & Automation,Mobility Solutions,Managed Services
05-08-2026,Gujarat,Surat,SparkBase Pvt. Ltd.,SparkBase Pvt. Ltd.,L51190GJ2019LLP501343,,Active,Logistics & Warehousing,IT Consulting,"Subscription, D2C, Web Platform, B2B"
05-08-2026,Gujarat,Ahmedabad,QuestMind OPC Pvt. Ltd.,QuestMind OPC Pvt. Ltd.,U88287GJ2022LLP498359,,Scaling,Waste Management,Micro-Grid,"IoT Solution, Consulting"
05-08-2026,Gujarat,Una,InnoForce Private Limited,InnoForce Private Limited,L92574GJ2022PTC877445,www.innoforce.org,Active,Semiconductor & Electronics,Machine Learning,Custom Development
05-08-2026,Gujarat,Vadodara,TerraNetworks OPC Pvt. Ltd.,TerraNetworks OPC Pvt. Ltd.,L85368GJ2021LLP792827,www.terranetworks.org,Active,Events & Conferencing,Enterprise IT,"Blockchain-Based, B2B, Subscription"
05-08-2026,Gujarat,Ahmedabad,NeoShift OPC Private Limited,NeoShift OPC Private Limited,U83193GJ2020PTC785884,www.neoshift.io,Early Traction,Cloud Computing & SaaS,Vocational Training,"Platform, Consulting, White-Label"
05-08-2026,Gujarat,Ahmedabad,PureShift OPC Pvt. Ltd.,PureShift OPC Pvt. Ltd.,U16923GJ2017LLP951741,www.pureshift.net,Active,Glass & Ceramics,DevOps,Blockchain-Based
05-08-2026,Gujarat,Ahmedabad,AuraSpace OPC Pvt. Ltd.,AuraSpace OPC Pvt. Ltd.,L87214GJ2022LLP321960,,Early Traction,Consulting & Advisory,D2C Platform,"Managed Services, AI-Powered, Blockchain-Based"
05-08-2026,Gujarat,Rajkot,AeroShift Private Ltd.,AeroShift Private Ltd.,U78586GJ2023LLP554525,www.aeroshift.tech,Active,Handicrafts & Art,Social Commerce,Marketplace
05-08-2026,Gujarat,Junagadh,VibrantShift Pvt Ltd,VibrantShift Pvt Ltd,L84729GJ2019LLP742725,www.vibrantshift.com,Prototype,E-Commerce & Online Marketplace,Retail Analytics,"Data Analytics, Managed Services, D2C"
05-08-2026,Gujarat,Surat,PureByte Private Ltd.,PureByte Private Ltd.,L50231GJ2020PTC878005,www.purebyte.net,Active,Cement & Building Materials,OTT Platform,"Subscription, White-Label"
05-08-2026,Gujarat,Ahmedabad,RedWorks LLP,RedWorks LLP,U59214GJ2022OPC929387,,Active,Forestry & Timber,K-12 Learning,"Blockchain-Based, Web Platform, On-Demand, Data Analytics"
05-08-2026,Gujarat,Surat,SmartVerse Pvt Ltd,SmartVerse Pvt Ltd,U24738GJ2024PTC554819,,Scaling,AI & Machine Learning,Micro-Grid,"Platform, On-Demand, Subscription, IoT Solution"
05-08-2026,Gujarat,Jetpur,AeroHub Private Limited,AeroHub Private Limited,L56615GJ2019PTC222877,,Active,Digital Media & Content,Online Marketplace,"AR/VR Experience, Platform, B2B"
05-08-2026,Gujarat,Vadodara,FluxSolutions Pvt Ltd,FluxSolutions Pvt Ltd,L10529GJ2023LLP805705,,Scaling,Industrial Manufacturing,Content Creation,"Cloud Services, AI-Powered, B2B, Mobile App"
05-08-2026,Gujarat,Dahod,SolarLogic Private Limited,SolarLogic Private Limited,L71039GJ2025PTC384914,,Early Traction,Cloud Computing & SaaS,Farm Solutions,"Managed Services, API-First, Cloud Services, Mobile App"
05-08-2026,Gujarat,Mehsana,BoltNetworks Private Ltd.,BoltNetworks Private Ltd.,L42671GJ2021PTC836674,,Scaling,Waste Management,Higher Ed,"Managed Services, AI-Powered"
05-08-2026,Gujarat,Ahmedabad,UltraFlow Private Ltd.,UltraFlow Private Ltd.,L35981GJ2022PTC628927,www.ultraflow.com,Active,Sports & Fitness,Connected Vehicles,AI-Powered
05-08-2026,Gujarat,Bharuch,PathDigital Pvt. Ltd.,PathDigital Pvt. Ltd.,U63302GJ2021PTC858494,www.pathdigital.tech,Early Traction,Semiconductor & Electronics,IT Consulting,"On-Demand, D2C"
05-08-2026,Gujarat,Gandhinagar,GreenShift LLP,GreenShift LLP,L93199GJ2023PTC780080,www.greenshift.tech,Active,Retail & Consumer Goods,Lending,"Consulting, Custom Development, Subscription"
05-08-2026,Gujarat,Vadodara,UltraCodex Pvt. Ltd.,UltraCodex Pvt. Ltd.,L94742GJ2016PTC634634,www.ultracodex.io,Active,AI & Machine Learning,NLP,B2B
05-08-2026,Gujarat,Ahmedabad,AlphaSystems Pvt. Ltd.,AlphaSystems Pvt. Ltd.,L65440GJ2016PTC317051,,Active,Real Estate & Housing,Enterprise IT,Custom Development
05-08-2026,Gujarat,Gandhinagar,EdgeBase LLP,EdgeBase LLP,U60918GJ2021OPC323697,,Active,Rubber & Plastics,IT Infrastructure,"Consulting, Subscription, AI-Powered"
05-08-2026,Gujarat,Ahmedabad,RiseBase Pvt Ltd,RiseBase Pvt Ltd,L40937GJ2016PTC641940,,Active,Automobile & Components,NLP,AI-Powered
05-08-2026,Gujarat,Surat,CruxLink OPC Private Limited,CruxLink OPC Private Limited,U96338GJ2019OPC493899,www.cruxlink.io,Prototype,AI & Machine Learning,Project Management,"B2C, Marketplace, Web Platform, White-Label"
05-08-2026,Gujarat,Surat,SummitHub LLP,SummitHub LLP,L70216GJ2023OPC351605,www.summithub.tech,Validation,Events & Conferencing,Cloud Kitchen,IoT Solution
05-08-2026,Gujarat,Gondal,AuraWing OPC Pvt. Ltd.,AuraWing OPC Pvt. Ltd.,U35329GJ2016PTC776296,www.aurawing.org,Active,Photography & Videography,Lifestyle Brand,"White-Label, Platform"
05-08-2026,Gujarat,Patan,SolarisNexus LLP,SolarisNexus LLP,L49842GJ2021PTC328677,,Active,Handicrafts & Art,Omnichannel Retail,"White-Label, D2C"
05-08-2026,Gujarat,Ahmedabad,InfinityByte Private Limited,InfinityByte Private Limited,U72041GJ2023LLP105012,,Active,Social Impact & NGO,Sustainable Fashion,"API-First, Web Platform, Freemium"
05-08-2026,Gujarat,Vadodara,TridentMind LLP,TridentMind LLP,L81693GJ2021LLP495143,www.tridentmind.in,Early Traction,Social Impact & NGO,Industrial IoT,"Marketplace, Subscription, Cloud Services"
05-08-2026,Gujarat,Ahmedabad,ZenByte Private Limited,ZenByte Private Limited,U79134GJ2025LLP313675,www.zenbyte.co,Early Traction,Textiles & Garments,Organic Food,Blockchain-Based
05-08-2026,Gujarat,Amreli,EdgeCraft Private Ltd.,EdgeCraft Private Ltd.,L63679GJ2023LLP453160,www.edgecraft.io,Active,Home Furnishing,Last-Mile Delivery,"On-Demand, B2C, Web Platform"
05-08-2026,Gujarat,Patan,BoltWorks Private Ltd.,BoltWorks Private Ltd.,L12812GJ2020LLP419707,www.boltworks.org,Active,Sports & Fitness,Experiential Travel,"Freemium, Mobile App"
05-08-2026,Gujarat,Surat,CyberPoint OPC Pvt. Ltd.,CyberPoint OPC Pvt. Ltd.,U21108GJ2024LLP109626,,Early Traction,Events & Conferencing,Machine Learning,Freemium
05-08-2026,Gujarat,Gandhinagar,NovaFlow Private Ltd.,NovaFlow Private Ltd.,L32369GJ2021LLP669135,www.novaflow.io,Active,Automobile & Components,Fashion Tech,SaaS
05-08-2026,Gujarat,Rajkot,ThriveByte Pvt Ltd,ThriveByte Pvt Ltd,U53452GJ2019OPC205963,,Prototype,Waste Management,Lending,"B2B, API-First, D2C, Freemium"
05-08-2026,Gujarat,Ahmedabad,AuraMind Private Ltd.,AuraMind Private Ltd.,U48057GJ2025OPC537964,www.auramind.org,Scaling,Architecture & Interior Design,Computer Vision,"Freemium, IoT Solution, Cloud Services"
05-08-2026,Gujarat,Jamnagar,EcoSystems Private Limited,EcoSystems Private Limited,L15694GJ2024PTC820450,www.ecosystems.com,Validation,AI & Machine Learning,Wind Energy,"Mobile App, API-First, AR/VR Experience, IoT Solution"
05-08-2026,Gujarat,Vadodara,CatalystStack Pvt Ltd,CatalystStack Pvt Ltd,L66752GJ2021LLP227247,,Active,Health & Wellness,Health Records,"Managed Services, B2C, Data Analytics, White-Label"
05-08-2026,Gujarat,Jamnagar,QuantumForce OPC Pvt. Ltd.,QuantumForce OPC Pvt. Ltd.,L91634GJ2020OPC858744,www.quantumforce.org,Active,Consulting & Advisory,Content Creation,"Managed Services, Data Analytics, Consulting, On-Demand"
05-08-2026,Gujarat,Vadodara,BlueNetworks Private Ltd.,BlueNetworks Private Ltd.,U27723GJ2025LLP960956,www.bluenetworks.net,Active,Metals & Mining,Sustainable Fashion,"IoT Solution, Blockchain-Based"
05-08-2026,Gujarat,Ahmedabad,FinDynamics Pvt Ltd,FinDynamics Pvt Ltd,U96323GJ2023LLP772641,,Active,Biotechnology,Air Quality,"Blockchain-Based, Data Analytics"
05-08-2026,Gujarat,Surat,ThriveSystems Pvt Ltd,ThriveSystems Pvt Ltd,L22947GJ2020PTC181563,,Active,Water & Sanitation,IT Infrastructure,"Subscription, Platform, Cloud Services, Consulting"
05-08-2026,Gujarat,Ahmedabad,AlphaBase OPC Private Limited,AlphaBase OPC Private Limited,L72387GJ2019LLP588557,,Active,Metals & Mining,Cloud Kitchen,"Blockchain-Based, SaaS, Data Analytics"
05-08-2026,Gujarat,Morbi,RisePoint Private Ltd.,RisePoint Private Ltd.,U90632GJ2023PTC386877,www.risepoint.in,Prototype,Transport & Mobility,Generative AI,"Custom Development, On-Demand, Blockchain-Based"
05-08-2026,Gujarat,Patan,NimbleCraft Private Limited,NimbleCraft Private Limited,L85153GJ2024OPC578431,,Scaling,Architecture & Interior Design,CRM SaaS,"D2C, Data Analytics, API-First, Platform"
05-08-2026,Gujarat,Nadiad,ZyphrCraft Private Ltd.,ZyphrCraft Private Ltd.,U39319GJ2022OPC430950,www.zyphrcraft.org,Prototype,Legal & Regulatory Services,Waste Management,"Freemium, Cloud Services, SaaS"
